Gene	GeneName	Chromosome	TSS	Strand	DistanceTSStoORF
HAT2	YEL056W	chr5	48104	+	44
POL5	YEL055C	chr5	52574	-	55
RPL12A	YEL054C	chr5	54225	-	27
MAK10	YEL053C	chr5	57150	-	68
AFG1	YEL052W	chr5	57515	+	36
VMA8	YEL051W	chr5	59308	+	50
RML2	YEL050C	chr5	61876	-	51
PAU2	YEL049W	chr5	64684	+	18
TCA17	YEL048C	chr5	66162	-	21
FRD1	YEL047C	chr5	67769	-	14
GLY1	YEL046C	chr5	69852	-	102
IES6	YEL044W	chr5	70711	+	6
YEL043W	YEL043W	chr5	71395	+	46
GDA1	YEL042W	chr5	74591	+	144
YEF1	YEL041W	chr5	76801	+	107
UTR2	YEL040W	chr5	79001	+	16
CYC7	YEL039C	chr5	81027	-	89
UTR4	YEL038W	chr5	81406	+	19
RAD23	YEL037C	chr5	83727	-	185
ANP1	YEL036C	chr5	85633	-	145
HYP2	YEL034W	chr5	86559	+	53
MCM3	YEL032W	chr5	87807	+	51
SPF1	YEL031W	chr5	91143	+	36
BUD16	YEL029C	chr5	98782	-	65
VMA3	YEL027W	chr5	101619	+	63
SNU13	YEL026W	chr5	102767	+	90
YEL025C	YEL025C	chr5	107101	-	40
RIP1	YEL024W	chr5	108091	+	83
YEL023C	YEL023C	chr5	112026	-	560
GEA2	YEL022W	chr5	112268	+	67
URA3	YEL021W	chr5	117047	+	33
TIM9	YEL020W-A	chr5	118063	+	61
PXP1	YEL020C	chr5	121280	-	68
EAF5	YEL018W	chr5	122364	+	20
PMP2	YEL017C-A	chr5	123890	-	48
GTT3	YEL017W	chr5	124529	+	41
NPP2	YEL016C	chr5	127314	-	183
EDC3	YEL015W	chr5	127503	+	39
VAC8	YEL013W	chr5	129489	+	249
UBC8	YEL012W	chr5	132590	+	95
GLC3	YEL011W	chr5	134000	+	31
GCN4	YEL009C	chr5	140427	-	-247
MIT1	YEL007W	chr5	142551	+	252
YEA6	YEL006W	chr5	145172	+	57
VAB2	YEL005C	chr5	147671	-	14
YEA4	YEL004W	chr5	147796	+	57
GIM4	YEL003W	chr5	149059	+	19
WBP1	YEL002C	chr5	150966	-	50
IRC22	YEL001C	chr5	151919	-	39
MNN1	YER001W	chr5	154373	+	49
NOP16	YER002W	chr5	157656	+	49
PMI40	YER003C	chr5	160064	-	44
FMP52	YER004W	chr5	160474	+	8
YND1	YER005W	chr5	161411	+	41
NUG1	YER006W	chr5	163586	+	39
TMA20	YER007C-A	chr5	167827	-	40
SEC3	YER008C	chr5	172772	-	52
NTF2	YER009W	chr5	172983	+	34
YER010C	YER010C	chr5	174269	-	29
TIR1	YER011W	chr5	176096	+	54
PRE1	YER012W	chr5	178676	+	61
PRP22	YER013W	chr5	179725	+	18
HEM14	YER014W	chr5	183471	+	31
FAA2	YER015W	chr5	185421	+	22
BIM1	YER016W	chr5	189156	+	12
AFG3	YER017C	chr5	192760	-	81
SPC25	YER018C	chr5	193570	-	55
ISC1	YER019W	chr5	193737	+	-49
SBH2	YER019C-A	chr5	195483	-	53
GPA2	YER020W	chr5	195992	+	67
RPN3	YER021W	chr5	197800	+	15
SRB4	YER022W	chr5	199645	+	36
PRO3	YER023W	chr5	201909	+	36
YAT2	YER024W	chr5	203041	+	20
GCD11	YER025W	chr5	206075	+	45
CHO1	YER026C	chr5	209378	-	35
GAL83	YER027C	chr5	211190	-	89
MIG3	YER028C	chr5	212774	-	29
SMB1	YER029C	chr5	214112	-	66
CHZ1	YER030W	chr5	214298	+	8
YPT31	YER031C	chr5	215650	-	34
FIR1	YER032W	chr5	215853	+	79
YER034W	YER034W	chr5	222700	+	13
EDC2	YER035W	chr5	223431	+	75
ARB1	YER036C	chr5	226103	-	33
PHM8	YER037W	chr5	226715	+	50
KRE29	YER038C	chr5	229138	-	10
HVG1	YER039C	chr5	230374	-	293
GLN3	YER040W	chr5	230589	+	82
YEN1	YER041W	chr5	233252	+	82
MXR1	YER042W	chr5	235753	+	57
SAH1	YER043C	chr5	238016	-	24
ERG28	YER044C	chr5	238929	-	39
SPO73	YER046W	chr5	244103	+	-63
SAP1	YER047C	chr5	247554	-	199
CAJ1	YER048C	chr5	249077	-	67
ISD11	YER048W-A	chr5	251169	+	81
TPA1	YER049W	chr5	252241	+	18
RSM18	YER050C	chr5	254986	-	67
JHD1	YER051W	chr5	255173	+	16
HOM3	YER052C	chr5	258563	-	82
PIC2	YER053C	chr5	260261	-	98
YER053C-A	YER053C-A	chr5	261630	-	50
GIP2	YER054C	chr5	264648	-	429
HIS1	YER055C	chr5	266410	-	103
FCY2	YER056C	chr5	268722	-	87
RPL34A	YER056C-A	chr5	270719	-	20
HMF1	YER057C	chr5	271682	-	43
PET117	YER058W	chr5	272258	+	23
PCL6	YER059W	chr5	272976	+	161
FCY21	YER060W	chr5	274938	+	139
CEM1	YER061C	chr5	280174	-	40
GPP2	YER062C	chr5	281250	-	60
THO1	YER063W	chr5	282159	+	56
VHR2	YER064C	chr5	284817	-	90
ICL1	YER065C	chr5	287451	-	50
RGI1	YER067W	chr5	292472	+	76
MOT2	YER068W	chr5	293441	+	91
ARG5,6	YER069W	chr5	295818	+	73
RNR1	YER070W	chr5	299391	+	39
TDA2	YER071C	chr5	302819	-	9
VTC1	YER072W	chr5	303181	+	108
ALD5	YER073W	chr5	304430	+	78
RPS24A	YER074W	chr5	306732	+	52
YOS1	YER074W-A	chr5	308085	+	29
PTP3	YER075C	chr5	311803	-	144
YER076C	YER076C	chr5	314439	-	144
MRX1	YER077C	chr5	317346	-	-53
ICP55	YER078C	chr5	319339	-	199
YER079W	YER079W	chr5	319639	+	79
AIM9	YER080W	chr5	320715	+	45
SER3	YER081W	chr5	323466	+	18
UTP7	YER082C	chr5	326796	-	63
GET2	YER083C	chr5	327850	-	18
YER084W	YER084W	chr5	328045	+	-179
ILV1	YER086W	chr5	329238	+	39
AIM10	YER087W	chr5	331340	+	38
SBH1	YER087C-B	chr5	333672	-	40
DOT6	YER088C	chr5	336118	-	130
PTC2	YER089C	chr5	338451	-	311
TRP2	YER090W	chr5	338676	+	71
MET6	YER091C	chr5	343033	-	70
IES5	YER092W	chr5	343613	+	39
TSC11	YER093C	chr5	348460	-	51
AIM11	YER093C-A	chr5	349210	-	13
PUP3	YER094C	chr5	350242	-	99
RAD51	YER095W	chr5	350731	+	44
SHC1	YER096W	chr5	352393	+	90
UBP9	YER098W	chr5	356039	+	179
PRS2	YER099C	chr5	359830	-	19
UBC6	YER100W	chr5	360231	+	81
AST2	YER101C	chr5	362595	-	49
RPS8B	YER102W	chr5	363467	+	377
SSA4	YER103W	chr5	365279	+	54
RTT105	YER104W	chr5	367530	+	18
NUP157	YER105C	chr5	372805	-	46
GLE2	YER107C	chr5	375468	-	176
KAP123	YER110C	chr5	382936	-	112
SWI4	YER111C	chr5	386900	-	320
LSM4	YER112W	chr5	387847	+	88
TMN3	YER113C	chr5	390913	-	158
BOI2	YER114C	chr5	394736	-	321
SLX8	YER116C	chr5	396972	-	100
RPL23B	YER117W	chr5	397442	+	28
SHO1	YER118C	chr5	399933	-	177
AVT6	YER119C	chr5	401563	-	20
SCS2	YER120W	chr5	401801	+	34
YER121W	YER121W	chr5	403045	+	30
GLO3	YER122C	chr5	405133	-	81
YCK3	YER123W	chr5	405317	+	188
DSE1	YER124C	chr5	409798	-	40
RSP5	YER125W	chr5	410380	+	503
NSA2	YER126C	chr5	414898	-	27
VFA1	YER128W	chr5	416402	+	28
SAK1	YER129W	chr5	417334	+	518
COM2	YER130C	chr5	423071	-	96
RPS26B	YER131W	chr5	424063	+	415
GLC7	YER133W	chr5	432613	+	69
YER134C	YER134C	chr5	438030	-	40
GDI1	YER136W	chr5	439680	+	121
YER137C	YER137C	chr5	442024	-	20
RTR1	YER139C	chr5	445602	-	103
EMP65	YER140W	chr5	445770	+	51
COX15	YER141W	chr5	447683	+	32
MAG1	YER142C	chr5	450320	-	28
DDI1	YER143W	chr5	450505	+	70
UBP5	YER144C	chr5	454488	-	9
FTR1	YER145C	chr5	456038	-	42
LSM5	YER146W	chr5	456800	+	41
SCC4	YER147C	chr5	459141	-	43
SPT15	YER148W	chr5	459370	+	189
PEA2	YER149C	chr5	461803	-	77
SPI1	YER150W	chr5	462591	+	35
UBP3	YER151C	chr5	466773	-	93
YER152C	YER152C	chr5	468275	-	31
PET122	YER153C	chr5	469071	-	10
OXA1	YER154W	chr5	469272	+	4
BEM2	YER155C	chr5	477113	-	9
YER156C	YER156C	chr5	478613	-	16
YER158C	YER158C	chr5	485038	-	204
BUR6	YER159C	chr5	486391	-	177
SPT2	YER161C	chr5	494649	-	47
CHD1	YER164W	chr5	499211	+	302
PAB1	YER165W	chr5	504352	+	142
DNF1	YER166W	chr5	506565	+	300
CCA1	YER168C	chr5	516810	-	26
RPH1	YER169W	chr5	517249	+	235
ADK2	YER170W	chr5	520066	+	23
BRR2	YER172C	chr5	530193	-	57
RAD24	YER173W	chr5	530385	+	30
TMT1	YER175C	chr5	534278	-	19
ECM32	YER176W	chr5	535544	+	42
BMH1	YER177W	chr5	539461	+	39
PDA1	YER178W	chr5	540678	+	28
SLO1	YER180C-A	chr5	545058	-	48
FMP10	YER182W	chr5	546379	+	35
FAU1	YER183C	chr5	547855	-	1
YER186C	YER186C	chr5	556689	-	179
YER187W	YER187W	chr5	559439	+	676
YER188W	YER188W	chr5	561918	+	7
AGP3	YFL055W	chr6	17610	+	22
AQY3	YFL054C	chr6	23466	-	51
ZNF1	YFL052W	chr6	28844	+	16
ALR2	YFL050C	chr6	36610	-	134
SWP82	YFL049W	chr6	37427	+	4
EMP47	YFL048C	chr6	40841	-	33
RGD2	YFL047W	chr6	41041	+	8
FMP32	YFL046W	chr6	43425	+	18
SEC53	YFL045C	chr6	45095	-	75
OTU1	YFL044C	chr6	46207	-	19
LAM5	YFL042C	chr6	48405	-	33
FET5	YFL041W	chr6	49749	+	18
ACT1	YFL039C	chr6	55444	-	120
YPT1	YFL038C	chr6	56648	-	34
TUB2	YFL037W	chr6	56893	+	71
RPO41	YFL036W	chr6	59209	+	201
MOB2	YFL034C-B	chr6	64675	-	54
RPL22B	YFL034C-A	chr6	65602	-	42
MIL1	YFL034W	chr6	65916	+	189
RIM15	YFL033C	chr6	75223	-	168
HAC1	YFL031W	chr6	75741	+	66
AGX1	YFL030W	chr6	77455	+	4
CAK1	YFL029C	chr6	79828	-	39
CAF16	YFL028C	chr6	80863	-	22
GYP8	YFL027C	chr6	82532	-	-8
STE2	YFL026W	chr6	83178	+	30
BST1	YFL025C	chr6	87939	-	77
EPL1	YFL024C	chr6	91287	-	314
BUD27	YFL023W	chr6	91600	+	14
FRS2	YFL022C	chr6	95874	-	59
GAT1	YFL021W	chr6	96833	+	-69
LPD1	YFL018C	chr6	104010	-	93
SMX2	YFL017W-A	chr6	104446	+	43
GNA1	YFL017C	chr6	105213	-	-41
MDJ1	YFL016C	chr6	107048	-	25
HSP12	YFL014W	chr6	107976	+	59
IES1	YFL013C	chr6	110740	-	33
HXT10	YFL011W	chr6	113058	+	57
CDC4	YFL009W	chr6	116695	+	189
SMC1	YFL008W	chr6	120121	+	41
BLM10	YFL007W	chr6	124089	+	123
SEC4	YFL005W	chr6	130930	+	137
VTC2	YFL004W	chr6	132517	+	27
SPB4	YFL002C	chr6	148719	-	13
DEG1	YFL001W	chr6	148903	+	2
LOC1	YFR001W	chr6	150847	+	38
NIC96	YFR002W	chr6	151776	+	15
YPI1	YFR003C	chr6	154930	-	31
RPN11	YFR004W	chr6	155138	+	30
SAD1	YFR005C	chr6	157655	-	7
YFR006W	YFR006W	chr6	157878	+	38
YFH7	YFR007W	chr6	161050	+	20
FAR7	YFR008W	chr6	162294	+	16
GCN20	YFR009W	chr6	164188	+	72
UBP6	YFR010W	chr6	166758	+	82
MIC19	YFR011C	chr6	169063	-	32
IOC3	YFR013W	chr6	171607	+	56
CMK1	YFR014C	chr6	175641	-	24
GSY1	YFR015C	chr6	178215	-	89
YFR016C	YFR016C	chr6	182572	-	94
IGD1	YFR017C	chr6	185056	-	86
YFR018C	YFR018C	chr6	186415	-	66
FAB1	YFR019W	chr6	186622	+	7
CSS2	YFR020W	chr6	194716	+	124
ATG18	YFR021W	chr6	196821	+	94
ROG3	YFR022W	chr6	198649	+	287
LSB3	YFR024C-A	chr6	205516	-	10
HIS2	YFR025C	chr6	206849	-	24
ULI1	YFR026C	chr6	208339	-	39
ECO1	YFR027W	chr6	209431	+	63
CDC14	YFR028C	chr6	212176	-	68
PTR3	YFR029W	chr6	212887	+	64
MET10	YFR030W	chr6	215272	+	54
SMC2	YFR031C	chr6	222155	-	35
RPL2A	YFR031C-A	chr6	223471	-	39
RPL29	YFR032C-A	chr6	225807	-	356
QCR6	YFR033C	chr6	226889	-	106
PHO4	YFR034C	chr6	228007	-	35
CDC26	YFR036W	chr6	228955	+	22
RSC8	YFR037C	chr6	231194	-	6
IRC5	YFR038W	chr6	231388	+	-6
OSW7	YFR039C	chr6	235675	-	129
SAP155	YFR040W	chr6	235950	+	294
ERJ5	YFR041C	chr6	240280	-	23
KEG1	YFR042W	chr6	240412	+	48
IRC6	YFR043C	chr6	241860	-	31
DUG1	YFR044C	chr6	243457	-	18
YFR045W	YFR045W	chr6	243984	+	16
CNN1	YFR046C	chr6	246162	-	1
BNA6	YFR047C	chr6	247202	-	34
RMD8	YFR048W	chr6	248096	+	52
YMR31	YFR049W	chr6	250363	+	162
PRE4	YFR050C	chr6	251921	-	53
RET2	YFR051C	chr6	253858	-	53
RPN12	YFR052W	chr6	254467	+	40
HXK1	YFR053C	chr6	257155	-	104
IRC7	YFR055W	chr6	266181	+	25
COS12	YGL263W	chr7	9071	+	19
YGL262W	YGL262W	chr7	10929	+	684
MNT2	YGL257C	chr7	20573	-	101
ADH4	YGL256W	chr7	20976	+	498
ZRT1	YGL255W	chr7	27263	+	45
FZF1	YGL254W	chr7	28619	+	9
HXK2	YGL253W	chr7	30215	+	47
RTG2	YGL252C	chr7	33846	-	38
RMR1	YGL250W	chr7	38230	+	4
PDE1	YGL248W	chr7	41848	+	129
BRR6	YGL247W	chr7	43237	+	20
RAI1	YGL246C	chr7	45144	-	40
GUS1	YGL245W	chr7	45332	+	15
RTF1	YGL244W	chr7	47766	+	56
TAD1	YGL243W	chr7	49655	+	-24
YGL242C	YGL242C	chr7	51560	-	39
KAP114	YGL241W	chr7	51748	+	22
DOC1	YGL240W	chr7	54937	+	1
CSE1	YGL238W	chr7	55873	+	3
HAP2	YGL237C	chr7	59953	-	84
MTO1	YGL236C	chr7	62158	-	21
ADE5,7	YGL234W	chr7	62807	+	18
SEC15	YGL233W	chr7	65436	+	29
TAN1	YGL232W	chr7	68396	+	22
EMC4	YGL231C	chr7	69983	-	20
SAP4	YGL229C	chr7	73531	-	229
SHE10	YGL228W	chr7	73887	+	54
VID30	YGL227W	chr7	75976	+	42
OST5	YGL226C-A	chr7	79539	-	34
MTC3	YGL226W	chr7	79690	+	-5
VRG4	YGL225W	chr7	89117	+	41
SDT1	YGL224C	chr7	91211	-	91
COG1	YGL223C	chr7	92622	-	13
EDC1	YGL222C	chr7	93474	-	64
NIF3	YGL221C	chr7	94535	-	19
BOL2	YGL220W	chr7	94671	+	-73
MDM34	YGL219C	chr7	96506	-	25
KIP3	YGL216W	chr7	96841	+	264
CLG1	YGL215W	chr7	99729	+	474
SKI8	YGL213C	chr7	103486	-	17
VAM7	YGL212W	chr7	103671	+	-17
NCS6	YGL211W	chr7	104711	+	23
YPT32	YGL210W	chr7	105979	+	35
MIG2	YGL209W	chr7	108042	+	38
SIP2	YGL208W	chr7	109542	+	18
SPT16	YGL207W	chr7	111101	+	93
CHC1	YGL206C	chr7	119801	-	72
POX1	YGL205W	chr7	120339	+	45
YGL204C	YGL204C	chr7	124289	-	59
KEX1	YGL203C	chr7	126980	-	67
ARO8	YGL202W	chr7	134456	+	123
MCM6	YGL201C	chr7	139470	-	52
EMP24	YGL200C	chr7	141828	-	12
YIP4	YGL198W	chr7	142095	+	7
MDS3	YGL197W	chr7	143026	+	180
DSD1	YGL196W	chr7	148326	+	65
GCN1	YGL195W	chr7	149990	+	43
HOS2	YGL194C	chr7	160270	-	52
COX13	YGL191W	chr7	163270	+	28
CDC55	YGL190C	chr7	166158	-	283
RPS26A	YGL189C	chr7	167025	-	-47
YGL188C-A	YGL188C-A	chr7	167463	-	15
COX4	YGL187C	chr7	169118	-	463
TPN1	YGL186C	chr7	171312	-	52
YGL185C	YGL185C	chr7	172825	-	35
STR3	YGL184C	chr7	174559	-	63
GTS1	YGL181W	chr7	176337	+	53
ATG1	YGL180W	chr7	177989	+	560
TOS3	YGL179C	chr7	184565	-	990
MPT5	YGL178W	chr7	185385	+	441
YGL176C	YGL176C	chr7	191591	-	45
SAE2	YGL175C	chr7	192833	-	44
BUD13	YGL174W	chr7	192995	+	17
XRN1	YGL173C	chr7	198859	-	332
NUP49	YGL172W	chr7	199082	+	32
ROK1	YGL171W	chr7	200778	+	26
SUA5	YGL169W	chr7	204414	+	59
PMR1	YGL167C	chr7	209316	-	434
CUP2	YGL166W	chr7	209522	+	21
YRB30	YGL164C	chr7	211725	-	11
RAD54	YGL163C	chr7	214975	-	158
SUT1	YGL162W	chr7	216404	+	148
YIP5	YGL161C	chr7	218665	-	109
AIM14	YGL160W	chr7	218938	+	37
YGL159W	YGL159W	chr7	221128	+	7
ARI1	YGL157W	chr7	227368	+	52
AMS1	YGL156W	chr7	228748	+	82
CDC43	YGL155W	chr7	232396	+	99
LYS5	YGL154C	chr7	234514	-	4
PEX14	YGL153W	chr7	234662	+	25
NUT1	YGL151W	chr7	235883	+	55
INO80	YGL150C	chr7	244161	-	174
ARO2	YGL148W	chr7	244781	+	32
RPL9A	YGL147C	chr7	246760	-	17
RRT6	YGL146C	chr7	248138	-	38
TIP20	YGL145W	chr7	248587	+	70
ROG1	YGL144C	chr7	252947	-	26
MRF1	YGL143C	chr7	254406	-	34
GPI10	YGL142C	chr7	256578	-	45
HUL5	YGL141W	chr7	256749	+	18
FLC3	YGL139W	chr7	263506	+	311
SEC27	YGL137W	chr7	267942	+	28
MRM2	YGL136C	chr7	272015	-	55
RPL1B	YGL135W	chr7	272678	+	64
PCL10	YGL134W	chr7	273646	+	118
ITC1	YGL133W	chr7	275607	+	201
SNT2	YGL131C	chr7	284032	-	72
CEG1	YGL130W	chr7	284204	+	42
RSM23	YGL129C	chr7	287233	-	57
CWC23	YGL128C	chr7	288251	-	6
SOH1	YGL127C	chr7	288902	-	26
SCS3	YGL126W	chr7	289071	+	27
MET13	YGL125W	chr7	290479	+	142
MON1	YGL124C	chr7	294850	-	35
RPS2	YGL123W	chr7	295620	+	98
NAB2	YGL122C	chr7	298623	-	15
GPG1	YGL121C	chr7	299265	-	23
PRP43	YGL120C	chr7	302073	-	56
COQ8	YGL119W	chr7	302499	+	23
YGL117W	YGL117W	chr7	306510	+	82
CDC20	YGL116W	chr7	307748	+	141
SNF4	YGL115W	chr7	310006	+	107
YGL114W	YGL114W	chr7	311298	+	242
SLD3	YGL113W	chr7	313990	+	22
TAF6	YGL112C	chr7	317843	-	35
NSA1	YGL111W	chr7	318037	+	21
CUE3	YGL110C	chr7	321514	-	23
YGL108C	YGL108C	chr7	322188	-	37
RMD9	YGL107C	chr7	324412	-	59
MLC1	YGL106W	chr7	324611	+	29
ARC1	YGL105W	chr7	325494	+	23
VPS73	YGL104C	chr7	328269	-	16
RPL28	YGL103W	chr7	329031	+	16
YGK1	YGL101W	chr7	330261	+	12
SEH1	YGL100W	chr7	331277	+	37
LSG1	YGL099W	chr7	332691	+	20
USE1	YGL098W	chr7	335378	+	44
SRM1	YGL097W	chr7	339820	+	42
TOS8	YGL096W	chr7	343356	+	38
VPS45	YGL095C	chr7	348712	-	50
PAN2	YGL094C	chr7	352709	-	189
SPC105	YGL093W	chr7	352903	+	38
NUP145	YGL092W	chr7	355868	+	93
NBP35	YGL091C	chr7	361015	-	52
LIF1	YGL090W	chr7	361208	+	32
YGL088W	YGL088W	chr7	363907	+	-150
MMS2	YGL087C	chr7	364868	-	43
MAD1	YGL086W	chr7	365108	+	-68
LCL3	YGL085W	chr7	367500	+	39
GUP1	YGL084C	chr7	370256	-	35
YGL082W	YGL082W	chr7	373660	+	90
MPC1	YGL080W	chr7	376527	+	32
KXD1	YGL079W	chr7	377339	+	28
DBP3	YGL078C	chr7	379860	-	78
HNM1	YGL077C	chr7	381961	-	122
RPL7A	YGL076C	chr7	383980	-	61
MPS2	YGL075C	chr7	386203	-	192
HSF1	YGL073W	chr7	386600	+	76
AFT1	YGL071W	chr7	389410	+	525
RPB9	YGL070C	chr7	392775	-	25
MNP1	YGL068W	chr7	392963	+	47
NPY1	YGL067W	chr7	393936	+	88
SGF73	YGL066W	chr7	395357	+	175
ALG2	YGL065C	chr7	399250	-	56
MRH4	YGL064C	chr7	401138	-	7
PUS2	YGL063W	chr7	401321	+	256
PYC1	YGL062W	chr7	403078	+	41
DUO1	YGL061C	chr7	407707	-	73
YBP2	YGL060W	chr7	407858	+	130
PKP2	YGL059W	chr7	410111	+	35
RAD6	YGL058W	chr7	411852	+	57
GEP7	YGL057C	chr7	413725	-	-27
SDS23	YGL056C	chr7	415594	-	53
OLE1	YGL055W	chr7	416478	+	62
ERV14	YGL054C	chr7	419253	-	65
TYW3	YGL050W	chr7	423655	+	23
TIF4632	YGL049C	chr7	427667	-	161
RPT6	YGL048C	chr7	429216	-	28
ALG13	YGL047W	chr7	429367	+	87
RIM8	YGL045W	chr7	431950	+	54
RNA15	YGL044C	chr7	435163	-	225
DST1	YGL043W	chr7	435363	+	22
DPC13	YGL041W-A	chr7	436693	+	34
HEM2	YGL040C	chr7	438533	-	76
YGL039W	YGL039W	chr7	441757	+	106
OCH1	YGL038C	chr7	444777	-	71
PNC1	YGL037C	chr7	445924	-	75
YGL036W	YGL036W	chr7	446427	+	76
MIG1	YGL035C	chr7	451063	-	105
HOP2	YGL033W	chr7	454086	+	-565
AGA2	YGL032C	chr7	454783	-	54
RPL24A	YGL031C	chr7	456340	-	510
RPL30	YGL030W	chr7	456929	+	58
CGR1	YGL029W	chr7	457917	+	42
SCW11	YGL028C	chr7	460972	-	167
CWH41	YGL027C	chr7	464070	-	31
TRP5	YGL026C	chr7	466475	-	44
PGD1	YGL025C	chr7	467881	-	28
PIB2	YGL023C	chr7	470038	-	38
STT3	YGL022W	chr7	470230	+	70
ALK1	YGL021W	chr7	472724	+	-43
GET1	YGL020C	chr7	475830	-	64
CKB1	YGL019W	chr7	475976	+	76
JAC1	YGL018C	chr7	477595	-	35
ATE1	YGL017W	chr7	477734	+	16
KAP122	YGL016W	chr7	479493	+	69
PUF4	YGL014W	chr7	483624	+	413
PDR1	YGL013C	chr7	490309	-	130
ERG4	YGL012W	chr7	490695	+	41
SCL1	YGL011C	chr7	493164	-	36
MPO1	YGL010W	chr7	493376	+	50
LEU1	YGL009C	chr7	496604	-	71
PMA1	YGL008C	chr7	500783	-	236
PMC1	YGL006W	chr7	503373	+	427
COG7	YGL005C	chr7	508455	-	29
RPN14	YGL004C	chr7	509839	-	4
CDH1	YGL003C	chr7	512156	-	103
ERP6	YGL002W	chr7	512345	+	51
ERG26	YGL001C	chr7	514395	-	14
EFM5	YGR001C	chr7	515932	-	18
SWC4	YGR002C	chr7	517795	-	9
CUL3	YGR003W	chr7	518001	+	11
PEX31	YGR004W	chr7	520790	+	28
TFG2	YGR005C	chr7	523769	-	30
PRP18	YGR006W	chr7	523939	+	11
ECT1	YGR007W	chr7	524818	+	31
STF2	YGR008C	chr7	526331	-	87
SEC9	YGR009C	chr7	528925	-	43
NMA2	YGR010W	chr7	529358	+	67
MCY1	YGR012W	chr7	531010	+	29
SNU71	YGR013W	chr7	532411	+	23
MSB2	YGR014W	chr7	534547	+	276
EAT1	YGR015C	chr7	539975	-	19
YGR016W	YGR016W	chr7	540118	+	23
YGR017W	YGR017W	chr7	541508	+	159
UGA1	YGR019W	chr7	543071	+	38
VMA7	YGR020C	chr7	545273	-	64
DPC29	YGR021W	chr7	545497	+	15
THG1	YGR024C	chr7	550561	-	3
YGR026W	YGR026W	chr7	550816	+	131
RPS25A	YGR027C	chr7	552800	-	380
MSP1	YGR028W	chr7	560138	+	25
ERV1	YGR029W	chr7	561513	+	0
POP6	YGR030C	chr7	564156	-	39
IMO32	YGR031W	chr7	564329	+	72
GSC2	YGR032W	chr7	565797	+	427
TIM21	YGR033C	chr7	573021	-	94
RPL26B	YGR034W	chr7	573745	+	27
YGR035C	YGR035C	chr7	575450	-	90
CAX4	YGR036C	chr7	576851	-	45
ACB1	YGR037C	chr7	577980	-	48
ORM1	YGR038W	chr7	578482	+	138
KSS1	YGR040W	chr7	598743	+	213
MTE1	YGR042W	chr7	603015	+	19
NQM1	YGR043C	chr7	605027	-	33
RME1	YGR044C	chr7	607531	-	81
TAM41	YGR046W	chr7	608340	+	113
TFC4	YGR047C	chr7	613062	-	35
UFD1	YGR048W	chr7	613329	+	55
SCM4	YGR049W	chr7	614823	+	49
FMP48	YGR052W	chr7	617020	+	134
MCO32	YGR053C	chr7	619466	-	71
YGR054W	YGR054W	chr7	620080	+	171
MUP1	YGR055W	chr7	622932	+	43
RSC1	YGR056W	chr7	625171	+	48
LST7	YGR057C	chr7	629148	-	89
PEF1	YGR058W	chr7	629669	+	25
ERG25	YGR060W	chr7	634076	+	46
ADE6	YGR061C	chr7	639568	-	45
COX18	YGR062C	chr7	640837	-	8
SPT4	YGR063C	chr7	641392	-	17
VHT1	YGR065C	chr7	643427	-	18
YGR066C	YGR066C	chr7	645354	-	4
YGR067C	YGR067C	chr7	648437	-	100
ART5	YGR068C	chr7	650671	-	36
ENV11	YGR071C	chr7	657659	-	65
UPF3	YGR072W	chr7	657795	+	40
SMD1	YGR074W	chr7	659231	+	12
PRP38	YGR075C	chr7	660446	-	40
MRPL25	YGR076C	chr7	661159	-	51
PEX8	YGR077C	chr7	663053	-	8
PAC10	YGR078C	chr7	663932	-	33
YGR079W	YGR079W	chr7	664318	+	-84
TWF1	YGR080W	chr7	665494	+	30
SLX9	YGR081C	chr7	667323	-	29
TOM20	YGR082W	chr7	667510	+	47
GCD2	YGR083C	chr7	670391	-	75
MRP13	YGR084C	chr7	671596	-	-47
RPL11B	YGR085C	chr7	672433	-	26
PIL1	YGR086C	chr7	674238	-	108
PDC6	YGR087C	chr7	676529	-	32
CTT1	YGR088W	chr7	678118	+	25
UTP22	YGR090W	chr7	685588	+	277
PRP31	YGR091W	chr7	689775	+	73
DBF2	YGR092W	chr7	691642	+	52
DRN1	YGR093W	chr7	693800	+	95
VAS1	YGR094W	chr7	695760	+	-67
RRP46	YGR095C	chr7	699916	-	67
TPC1	YGR096W	chr7	700081	+	47
ASK10	YGR097W	chr7	702155	+	40
ESP1	YGR098C	chr7	711207	-	249
TEL2	YGR099W	chr7	711333	+	65
MDR1	YGR100W	chr7	713679	+	64
PCP1	YGR101W	chr7	716825	+	36
GTF1	YGR102C	chr7	718644	-	9
NOP7	YGR103W	chr7	718894	+	23
SRB5	YGR104C	chr7	721903	-	39
VMA21	YGR105W	chr7	722047	+	49
VOA1	YGR106C	chr7	723343	-	60
CLB1	YGR108W	chr7	726916	+	208
CLB6	YGR109C	chr7	730068	-	79
CLD1	YGR110W	chr7	737159	+	38
YGR111W	YGR111W	chr7	739276	+	40
SHY1	YGR112W	chr7	740788	+	58
DAM1	YGR113W	chr7	742329	+	52
SPT6	YGR116W	chr7	743846	+	51
YGR117C	YGR117C	chr7	749976	-	9
RPS23A	YGR118W	chr7	750439	+	23
NUP57	YGR119C	chr7	753248	-	89
COG2	YGR120C	chr7	754342	-	33
MEP1	YGR121C	chr7	756439	-	24
